amplitude,beyond1std,flux_percentile_ratio_mid20,flux_percentile_ratio_mid35,flux_percentile_ratio_mid50,flux_percentile_ratio_mid65,flux_percentile_ratio_mid80,linear_trend,max_slope,median_absolute_deviation,median_buffer_range_percentage,pair_slope_trend,percent_amplitude,percent_difference_flux_percentile,skew,small_kurtosis,std,stetson_j,stetson_k,ls,class
1115072059808,0.858,0.397660818713,0.177657675954,0.293205300067,0.469192380474,0.698132057021,0.838420198226,-0.000260852798534,10399.9997692,0.265,1.0,-0.172413793103,0.942674323031,1.00997323155,0.180175316228,-0.504939559499,0.346596911955,70.6376432523,0.802836273472,1.45802548963,1
1121071004184,0.313,0.324200913242,0.200980528131,0.307074526117,0.445811739182,0.598183227269,0.787485532615,-1.83170236523e-06,19.8995074997,0.076,1.0,0.0344827586207,0.189049678985,0.316648723483,0.581935591629,0.586523566095,0.108328545588,13.4526531281,0.770893551073,0.24740851038,1
1118072052682,0.286,0.244131455399,0.184673438534,0.362261318531,0.502770651196,0.701920491746,0.884531980477,2.57957931192e-05,566.03773496,0.08,1.0,-0.0344827586207,0.143931449539,0.356191306296,0.811509478771,-0.457346155514,0.140418035725,3.5888002334,0.860676097943,0.282173769234,1
1121071009722,0.721,0.326086956522,0.0871518032705,0.177570840952,0.355002824901,0.475950780896,0.707785983031,0.000169726315992,51.8504376238,0.205,1.0,0.0344827586207,1.08543689501,1.22149609441,-0.460194088002,0.212531079953,0.333838737203,0.238060431042,0.709659073235,0.929570219702,1
1118072056067,0.595,0.361386138614,0.250586041624,0.430043598003,0.598235148091,0.744316441271,0.865812500935,-8.7462701395e-05,27.0904822239,0.216,1.0,0.310344827586,0.473666676802,0.668974178268,0.427215387071,-0.70187567946,0.2558786711,30.8893083523,0.842077155017,0.228257134099,1
1121071010625,0.101,0.39512195122,0.242742301362,0.374283835893,0.51009942701,0.709757442255,0.845851413487,4.59128806739e-06,9.89157679146,0.038,1.0,0.379310344828,0.095468767334,0.138868127404,0.0652376523555,-0.956908423603,0.0483974016146,1.72587616021,0.830295306686,0.202096879415,1
1123069047784,0.491,0.250950570342,0.191021813161,0.305591720867,0.505983942835,0.717423979282,0.917674456194,-2.02191128383e-05,1794.42518475,0.105,1.0,-0.0344827586207,0.262408761467,0.492218824017,0.873174695035,-0.251615416364,0.20144694826,1.92578654875,0.838405207747,0.153522267621,1
1126068026727,0.371,0.261603375527,0.0866793423322,0.17246582124,0.306870788276,0.482553716512,0.717002503007,-9.1926380789e-06,1446.08524296,0.067,1.0,0.0689655172414,0.183586491962,0.409912832549,1.40474259153,2.18577402465,0.141163207491,13.1032978195,0.685480789586,15.2670701556,1
1129066012204,0.2675,0.339622641509,0.188380197264,0.32872792898,0.451397698435,0.621593149433,0.858618552584,-2.12650050748e-06,17.8674699797,0.087,1.0,0.0344827586207,0.187955027942,0.357474521005,0.595034768883,-0.271000199577,0.127017895376,9.84788292681,0.79542905139,0.720001130172,1
1157034024410,0.414,0.35761589404,0.170484955586,0.287307302426,0.408184668297,0.642536744173,0.819088612097,2.12083411224e-05,45.4812065569,0.126,1.0,-0.0344827586207,0.415141932931,0.563624270112,0.290711423841,-0.509759973383,0.188530949584,0.708589946542,0.797391436851,0.321777786556,1
1129066061152,0.4395,0.303370786517,0.207134087514,0.388179726844,0.578424063089,0.723583816182,0.888974005278,4.96435362478e-05,25.346962514,0.1215,1.0,-0.0344827586207,0.238225705763,0.459804274065,0.781552247463,-0.157107556383,0.189155096879,10.3034384501,0.814353831392,0.24439413296,1
1104075035849,0.297,0.30534351145,0.199326961279,0.3785854851,0.549458426333,0.733038074409,0.893820480279,-7.69001883463e-06,836.972352699,0.095,1.0,0.0344827586207,0.17489755494,0.372130582949,0.634998252963,-0.697325524154,0.146819876389,2.0990721636,0.837763505732,3.54008386595,1
